REPLACE0,REPLACE1,REPLACE2,REPLACE3,Type,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18
LegandExp_122,ODP,Site_762,Hole_762C,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records211_Lucianorhabdus_cayeuxii,None,None,None,None,771.3,771.3,771.3,86.38,2.5914,86.38,None,Neptune
LegandExp_122,ODP,Site_763,Hole_763B,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records212_Lucianorhabdus_cayeuxii,None,None,None,None,323,323,323,86.38,2.5914,86.38,None,Neptune
LegandExp_160,ODP,Site_967,Hole_967E,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records214_Lucianorhabdus_cayeuxii,None,"29-1,44","29-2,12",None,379.83,379.24,380.42,86.38,2.5914,86.38,None,Neptune
LegandExp_39,DSDP,Site_354,Hole_354,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records215_Lucianorhabdus_cayeuxii,None,"39_354,18-CC","39_354,19-CC",None,887.7,881,894.4,86.38,None,None,None,NeptuneSB
LegandExp_39,DSDP,Site_356,Hole_356,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records216_Lucianorhabdus_cayeuxii,None,"39_356,40-2,27","39_356,40-3,42",None,696.545,695.72,697.37,86.38,None,None,None,NeptuneSB
LegandExp_39,DSDP,Site_357,Hole_357,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records217_Lucianorhabdus_cayeuxii,None,"39_357,51-CC",None,None,850,None,850,86.38,None,None,None,NeptuneSB
LegandExp_41,DSDP,Site_367,Hole_367,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records218_Lucianorhabdus_cayeuxii,None,"41_367,18-CC","41_367,19-3,85",None,645.925,643.5,648.35,86.38,None,None,None,NeptuneSB
LegandExp_36,DSDP,Site_327,Hole_327A,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records219_Lucianorhabdus_cayeuxii,None,"36_327A,14-1,105","36_327A,14-1,112",None,147.585,147.55,147.62,86.38,None,None,None,NeptuneSB
LegandExp_369,IODP2,Site_None,Hole_U1513A,B,Lucianorhabdus_cayeuxii_Base_Depth,Lucianorhabdus cayeuxii Base Depth,Records220_Lucianorhabdus_cayeuxii,"17X-CC,37-42",None,None,CSF-A(m),106.33,108.69,103.97,86.38,None,None,None,IODP_Proceedings_
LegandExp_171B,ODP,Site_1050,Hole_1050C,T,Lithastrinus_septenarius_Top_Depth,Lithastrinus septenarius Top Depth,Records221_Lithastrinus_septenarius,None,"20-2,103","20-2,103",None,493.13,493.13,493.13,85.56,2.5668,85.56,None,Neptune
