index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18,REPLACE19
39,Misceomarginatus_pleniporus,Misceomarginatus pleniporus,"Wind & Wise in Wise & Wind, 1977",Misceomarginatus,Misceomarginatus_pleniporus_Geologic_Range,Misceomarginatus pleniporus Geologic Range,Misceomarginatus_pleniporus_Base_Time,Misceomarginatus pleniporus Base Time,Misceomarginatus_pleniporus_Top_Time,Misceomarginatus pleniporus Top Time,Misceomarginatus_pleniporus_Base_NumericTime,Misceomarginatus pleniporus Base NumericTime,Misceomarginatus_pleniporus_Top_NumericTime,Misceomarginatus pleniporus Top NumericTime,80.97,Null,Null,Null,M.  pleniporus
40,Heteromarginatus_bugensis,Heteromarginatus bugensis,"Lambert, 1987",Heteromarginatus,Heteromarginatus_bugensis_Geologic_Range,Heteromarginatus bugensis Geologic Range,Heteromarginatus_bugensis_Base_Time,Heteromarginatus bugensis Base Time,Heteromarginatus_bugensis_Top_Time,Heteromarginatus bugensis Top Time,Heteromarginatus_bugensis_Base_NumericTime,Heteromarginatus bugensis Base NumericTime,Heteromarginatus_bugensis_Top_NumericTime,Heteromarginatus bugensis Top NumericTime,79.01,79.01,73.32,73.32,H.  asymetricus
41,Prediscosphaera_stoveri,Prediscosphaera stoveri,group,Prediscosphaera,Prediscosphaera_stoveri_Geologic_Range,Prediscosphaera stoveri Geologic Range,Prediscosphaera_stoveri_Base_Time,Prediscosphaera stoveri Base Time,Prediscosphaera_stoveri_Top_Time,Prediscosphaera stoveri Top Time,Prediscosphaera_stoveri_Base_NumericTime,Prediscosphaera stoveri Base NumericTime,Prediscosphaera_stoveri_Top_NumericTime,Prediscosphaera stoveri Top NumericTime,78.73,78.73,Null,Null,0
42,Ceratolithoides_aculeus,Ceratolithoides aculeus,"Burnett, 1997",Ceratolithoides,Ceratolithoides_aculeus_Geologic_Range,Ceratolithoides aculeus Geologic Range,Ceratolithoides_aculeus_Base_Time,Ceratolithoides aculeus Base Time,Ceratolithoides_aculeus_Top_Time,Ceratolithoides aculeus Top Time,Ceratolithoides_aculeus_Base_NumericTime,Ceratolithoides aculeus Base NumericTime,Ceratolithoides_aculeus_Top_NumericTime,Ceratolithoides aculeus Top NumericTime,79.13,Null,Null,Null,C.  naturalisteplateauensis
43,Uniplanarius_sissinghii,Uniplanarius sissinghii,"(Perch Nielsen, 1986) Farhan 1987",Uniplanarius,Uniplanarius_sissinghii_Geologic_Range,Uniplanarius sissinghii Geologic Range,Uniplanarius_sissinghii_Base_Time,Uniplanarius sissinghii Base Time,Uniplanarius_sissinghii_Top_Time,Uniplanarius sissinghii Top Time,Uniplanarius_sissinghii_Base_NumericTime,Uniplanarius sissinghii Base NumericTime,Uniplanarius_sissinghii_Top_NumericTime,Uniplanarius sissinghii Top NumericTime,77.56,77.56,Null,Null,Q.  sissinghii
44,Uniplanarius_trifidus,Uniplanarius trifidus,"(Perch Nielsen, 1986) Farhan 1987",Uniplanarius,Uniplanarius_trifidus_Geologic_Range,Uniplanarius trifidus Geologic Range,Uniplanarius_trifidus_Base_Time,Uniplanarius trifidus Base Time,Uniplanarius_trifidus_Top_Time,Uniplanarius trifidus Top Time,Uniplanarius_trifidus_Base_NumericTime,Uniplanarius trifidus Base NumericTime,Uniplanarius_trifidus_Top_NumericTime,Uniplanarius trifidus Top NumericTime,71.3,71.3,Null,Null,Q.  sissinghii
45,Eiffellithus_parallelus,Eiffellithus parallelus,"Perch Nielsen, 1973",Eiffellithus,Eiffellithus_parallelus_Geologic_Range,Eiffellithus parallelus Geologic Range,Eiffellithus_parallelus_Base_Time,Eiffellithus parallelus Base Time,Eiffellithus_parallelus_Top_Time,Eiffellithus parallelus Top Time,Eiffellithus_parallelus_Base_NumericTime,Eiffellithus parallelus Base NumericTime,Eiffellithus_parallelus_Top_NumericTime,Eiffellithus parallelus Top NumericTime,74.74,74.74,Null,Null,E.  parallelus
46,Biscutum_dissimilis,Biscutum dissimilis,"Covington, 1994",Biscutum,Biscutum_dissimilis_Geologic_Range,Biscutum dissimilis Geologic Range,Biscutum_dissimilis_Base_Time,Biscutum dissimilis Base Time,Biscutum_dissimilis_Top_Time,Biscutum dissimilis Top Time,Biscutum_dissimilis_Base_NumericTime,Biscutum dissimilis Base NumericTime,Biscutum_dissimilis_Top_NumericTime,Biscutum dissimilis Top NumericTime,Null,Null,Null,Null,B.  dekaenelii
47,Tortolithus_caistorensis,Tortolithus caistorensis,"Bown, 1987",Tortolithus,Tortolithus_caistorensis_Geologic_Range,Tortolithus caistorensis Geologic Range,Tortolithus_caistorensis_Base_Time,Tortolithus caistorensis Base Time,Tortolithus_caistorensis_Top_Time,Tortolithus caistorensis Top Time,Tortolithus_caistorensis_Base_NumericTime,Tortolithus caistorensis Base NumericTime,Tortolithus_caistorensis_Top_NumericTime,Tortolithus caistorensis Top NumericTime,Null,Null,72.21,72.21,T.  cypella
48,Monomarginatus_quaternarius,Monomarginatus quaternarius,"Wind & Wise in Wise & Wind, 1977",Monomarginatus,Monomarginatus_quaternarius_Geologic_Range,Monomarginatus quaternarius Geologic Range,Monomarginatus_quaternarius_Base_Time,Monomarginatus quaternarius Base Time,Monomarginatus_quaternarius_Top_Time,Monomarginatus quaternarius Top Time,Monomarginatus_quaternarius_Base_NumericTime,Monomarginatus quaternarius Base NumericTime,Monomarginatus_quaternarius_Top_NumericTime,Monomarginatus quaternarius Top NumericTime,Null,Null,72.1,72.1,M.  quaternarius
